n-size,edge_probability,operations_count,operations_count,output
10,0.3,107,3.4292E-5,false
10,0.3,213,2.3886E-5,false
10,0.3,456,3.2895E-5,false
10,0.3,255,3.1917E-5,false
10,0.3,105,7.7873E-5,false
10,0.3,170,2.0603E-5,false
10,0.3,446,2.4235E-5,false
10,0.3,106,1.4737E-5,false
10,0.3,360,3.1847E-5,false
10,0.3,127,2.3886E-5,false
10,0.3,380,4.7562E-5,false
10,0.3,393,2.6749E-5,false
10,0.3,480,3.2197E-5,false
10,0.3,148,1.4876E-5,false
10,0.3,233,2.2489E-5,false
10,0.3,106,2.186E-5,false
10,0.3,351,2.0463E-5,false
10,0.3,127,2.3815E-5,false
10,0.3,84,1.32E-5,false
10,0.3,180,1.9905E-5,false
10,0.3,107,2.4794E-5,false
10,0.3,158,1.4666E-5,false
10,0.3,169,4.5397E-5,false
10,0.3,383,2.1511E-5,false
10,0.3,233,1.5854E-5,false
10,0.3,437,1.2502E-5,false
10,0.3,213,1.1314E-5,false
10,0.3,170,1.0127E-5,false
10,0.3,306,1.1245E-5,false
10,0.3,106,1.1873E-5,false
10,0.3,116,1.1454E-5,false
10,0.3,234,1.0616E-5,false
10,0.3,319,1.6972E-5,false
10,0.3,413,1.7041E-5,false
10,0.3,371,2.186E-5,false
10,0.3,439,1.4667E-5,false
10,0.3,245,1.2711E-5,false
10,0.3,127,1.2292E-5,false
10,0.3,436,6.26405E-4,true
10,0.3,460,5.9086E-5,true
10,0.3,85,1.1454E-5,false
10,0.3,128,1.1594E-5,false
10,0.3,340,1.3689E-5,false
10,0.3,148,1.2781E-5,false
10,0.3,276,1.2292E-5,false
10,0.3,286,1.4248E-5,false
10,0.3,106,1.0895E-5,false
10,0.3,128,1.0826E-5,false
10,0.3,320,1.334E-5,false
10,0.3,265,1.1384E-5,false
10,0.3,106,1.2083E-5,false
10,0.3,149,2.0952E-5,false
10,0.3,329,1.3339E-5,false
10,0.3,169,1.2781E-5,false
10,0.3,180,1.1454E-5,false
10,0.3,233,1.1384E-5,false
10,0.3,138,1.1384E-5,false
10,0.3,148,9.918E-6,false
10,0.3,498,1.0476E-5,false
10,0.3,170,8.172E-6,false
10,0.3,106,1.0896E-5,false
10,0.3,542,2.1372E-5,false
10,0.3,211,4.4279E-5,false
10,0.3,297,4.6863E-5,false
10,0.3,126,3.0102E-5,false
10,0.3,437,2.0813E-5,false
10,0.3,105,1.6552E-5,false
10,0.3,127,1.1943E-5,false
10,0.3,339,1.6901E-5,false
10,0.3,222,1.6622E-5,false
10,0.3,351,1.0825E-5,false
10,0.3,84,1.334E-5,false
10,0.3,137,1.6133E-5,false
10,0.3,309,1.774E-5,false
10,0.3,147,1.3898E-5,false
10,0.3,127,1.5365E-5,false
10,0.3,116,1.4597E-5,false
10,0.3,383,1.5784E-5,false
10,0.3,501,1.6342E-5,false
10,0.3,383,2.0952E-5,false
10,0.3,341,2.0882E-5,false
10,0.3,170,1.753E-5,false
10,0.3,224,1.8089E-5,false
10,0.3,417,1.8648E-5,false
10,0.3,181,1.6762E-5,false
10,0.3,85,2.193E-5,false
10,0.3,85,1.6623E-5,false
10,0.3,169,1.9556E-5,false
10,0.3,169,1.8368E-5,false
10,0.3,149,1.767E-5,false
10,0.3,105,4.819E-5,false
10,0.3,126,1.6762E-5,false
10,0.3,460,2.1371E-5,false
10,0.3,116,1.6901E-5,false
10,0.3,127,2.0045E-5,false
10,0.3,446,1.7879E-5,false
10,0.3,460,9.3448E-5,true
10,0.3,329,1.2361E-5,false
10,0.3,375,1.1244E-5,false
10,0.3,522,1.13561E-4,true
10,0.3,192,1.4178E-5,false
10,0.3,192,9.987E-6,false
10,0.3,127,7.124E-6,false
10,0.3,483,7.8991E-5,true
10,0.3,211,1.4108E-5,false
10,0.3,406,8.451E-6,false
10,0.3,192,1.1873E-5,false
10,0.3,286,8.171E-6,false
10,0.3,84,6.356E-6,false
10,0.3,137,2.0883E-5,false
10,0.3,349,7.194E-6,false
10,0.3,417,9.499E-6,false
10,0.3,289,7.613E-6,false
10,0.3,148,6.844E-6,false
10,0.3,297,1.1804E-5,false
